,vel_mean_whole,vel_maxs_whole,vel_vars_whole,vel_var_whole,vel_diff_whole,acc_mean_whole,acc_maxs_whole,cent_dist_mean_whole,cent_dist_meds_whole,cent_dist_maxs_whole,cent_dist_mins_whole,dist_mean_whole,dist_var_whole,SA_mean_whole,SA_meds_whole,SA_maxs_whole,SA_mins_whole,VorArea_mean_whole,VorRatio_mean_whole,Leadership_whole,HCS_whole,lead_consist_whole,lead_consist_adj_whole,Rest_Count_whole,Rest_time_whole,Rest_percent_whole,Ftest_X_mean_whole,Ftest_Y_mean_whole,Wass_X_mean_whole,Wass_Y_mean_whole,LW_mean_whole,LW_maxs_whole,LW_mins_whole,Xnn_mean_whole,Ynn_mean_whole,SEI_mean_whole,SEI_maxs_whole,VAR_mean_whole,VARX_mean_whole,PACS_entropy_whole,vel_ent_whole,vel_var_ent_whole,vel_diffs_ent_whole,acc_dfs_ent_whole,cent_dists_ent_whole,neighbor_ds_ent_whole,SAs_ent_whole,voronoi_areas_ent_whole,voronoi_ratios_ent_whole,LW_ratios_ent_whole,x_neighbors_ent_whole,y_neighbors_ent_whole,SEIs_ent_whole,VAR_errs_ent_whole,VARX_errs_ent_whole,doct_dist_ratio_whole,doct_vel_ratio_whole,HDBSCAN_5_outlier_time_sum_whole,HDBSCAN_5_membership_mean_whole,DBSCAN_5_outlier_time_sum_whole,HDBSCAN_10_outlier_time_sum_whole,HDBSCAN_10_membership_mean_whole,DBSCAN_10_outlier_time_sum_whole,HDBSCAN_25_outlier_time_sum_whole,HDBSCAN_25_membership_mean_whole,DBSCAN_25_outlier_time_sum_whole,HDBSCAN_50_outlier_time_sum_whole,HDBSCAN_50_membership_mean_whole,DBSCAN_50_outlier_time_sum_whole
Squad 1,1.3438577585228082,1.9472160372353133,0.08127748818191273,0.034512458308155254,0.42755531739408503,-0.00033145867419302684,0.19100081848839814,23.915332443859437,23.335619320629323,54.87700957117524,3.259984399905665,15.50476000310374,457.02227946776725,178.4079947784241,174.85870855384007,362.6627633979017,31.343598278990452,46.31634106506535,0.1552014729948646,-0.0494234561320897,0.9344298956463417,0.35333333333333333,0.8189016864612736,3.0,1417.0,0.1743141837864436,3.908113669270416e-32,5.91926833483559e-32,28.91624525241059,28.261038859394805,11.216003046667764,46.12990393890777,1.9810300697307555,1.2936674504330918,14.038887948152228,12.925858750231866,36.71603711767887,0.7897113684937426,1.154198436127677,0.24176072513213928,0.8437154265944359,0.5587857733139057,0.8698753177276458,0.5940091591219193,0.5073374641453797,0.1508041746716815,1.154892600153873,0.5104320649058871,1.1088323149567465,1.0736808475451736,0.4925066909777936,0.33283556962944694,0.6035463969747349,0.589610224535566,0.6060603448207543,0.42875427258043314,0.9629459298145551,3958.3333333333335,0.48160202249340817,2089.3333333333335,1437.3333333333333,0.6881014563239235,1018.3333333333334,801.3333333333334,0.7204851433924852,671.6666666666666,442.1666666666667,0.7245485839810727,433.6666666666667
Squad 2,1.3743640694318688,1.842358575147337,0.03191929337671854,0.017880238250161096,0.2940821411718154,8.174068522733132e-05,0.1366840109247406,4.097630365982403,3.3931857419168536,11.198606712023528,0.7232738547839618,2.8047235990446473,3.7852300231966347,29.232158816894675,25.376241372116006,55.8827191062221,13.188804200312967,5.804711422111629,0.16662109861177557,0.022285674136082345,0.9902539023065161,0.15703703703703706,1.2182481326215682,9.0,4709.0,0.6956714433446595,6.973643599373689e-33,1.9141474132706917e-32,7.66932186795477,7.670475276068608,2.55831519383093,7.639017769311164,0.6984955777791353,0.8568848639957433,1.6981627623210456,2.906491612588193,9.001744172189918,0.35101153449631134,0.3946609528156606,0.07668779389260881,0.7243302324468742,0.34162733760010405,0.6776811173811034,0.5682278867252665,0.14241712579917035,0.062299336170861946,0.24418291514265547,0.15016140840893819,1.476549732153644,0.3564520985885202,0.3875318884205677,0.13112825016091728,0.19607180656636472,0.43119946766841605,0.4785779499656438,0.36679131907500867,0.955675098757678,2168.1666666666665,0.6244974300423395,1094.1666666666667,507.6666666666667,0.7452737508226646,197.33333333333334,81.83333333333333,0.7654742346605948,20.833333333333332,28.833333333333332,0.7667494898453642,0.0
Squad 3,1.263333823584713,1.8478991395519617,0.06395558763841677,0.04021398203393537,0.46054105716222815,-6.601358844972022e-05,0.16489077711621597,15.04063985274169,14.808948400286864,27.603310187331953,4.461195637365689,5.483728099101533,8.869243610965766,88.96083696388393,90.25150436858367,136.03409245386305,40.21752025051095,35.17561432668874,0.14283933517663422,-0.0165488106254116,0.9308816750613794,0.4328752795968415,1.6075461515289233,5.0,1290.0,0.1528436018957346,1.6541342409980995e-32,5.998639615292208e-32,19.788799492135706,19.73547303622832,4.311038335091697,13.53114610274686,1.3764400009412754,1.1795967501062081,3.32153514740355,5.837564642848638,16.2217029921656,0.6070498372112377,0.4701880747491156,0.16019201545805836,0.8946359267610965,0.5936398033566378,0.9523930077739077,0.6292500129382164,0.3049043773251654,0.09851562448394126,0.4952269147300891,0.45706978775267376,1.1942193063346545,0.44492471089993463,0.4728327981019973,0.22967026599833767,0.37261922674322456,0.6235055252365277,0.5312470432986853,0.4351731012570668,0.9648737605843181,3815.0,0.5696875897585677,2444.714285714286,1053.5714285714287,0.7665875288981504,597.2857142857143,194.71428571428572,0.8583404494907004,39.57142857142857,82.85714285714286,0.8763325903263476,0.0
Squad 4,1.4074361244514317,1.9921643372603364,0.04847978106933588,0.03658221887214752,0.4937979958386108,6.537000491700199e-05,0.17116595756582065,22.079650004805313,22.589449503623246,42.076147655715076,4.96790971173598,14.316863346364604,323.10031416164105,186.15754229102083,190.64019102467367,335.71921610785415,58.32934881624538,63.247008946095285,0.13415569876591835,0.00444914285271835,0.955123746913576,0.3245393176427659,1.1444275381206135,5.0,2517.0,0.33771635582986714,2.833347765998175e-32,3.3512936195948025e-32,17.146697212433217,15.852949850693431,7.998247869910455,21.920343706582845,1.4318512091755438,1.4741794401642334,12.398312437075464,9.94699361037621,23.5521248986152,0.6495485661511159,0.8247572962139792,0.16850296256194192,0.8539514435408184,0.5886730507783126,0.9186152431913182,0.640538897849188,0.391646310409426,0.1266018665732098,0.94385652818913,0.5267037026566429,0.9847315118523577,0.6525837596769306,0.5300729434408218,0.2727901446019704,0.46498048081211557,0.6792273736205273,0.7348604130084773,0.45209252063266714,0.9205171242167955,3887.5714285714284,0.481665211324566,2256.4285714285716,1490.2857142857142,0.6882435997011778,1208.2857142857142,901.4285714285714,0.7045093313435357,796.2857142857143,663.4285714285714,0.7069675967359984,620.7142857142857
Squad 5,1.456326093253748,2.271967942188089,0.06891599513554553,0.03322709713386101,0.44350518711922565,-0.00044776308610473456,0.22379170592944503,6.282563299607456,4.93221844711748,19.92581311754406,0.5420693940159256,2.9682742548464622,6.877861726194059,42.6794830146373,37.30251865295844,108.48783552952908,15.637768668233845,12.205698861464604,0.125,-7.086577913341385e-05,0.9735087188575953,0.2074829931972789,1.186764262760267,6.0,2297.0,0.31145762711864405,2.5619628721900133e-32,1.604257809744776e-32,10.75838299535367,10.756921205771809,1.676674923375719,6.948473748634492,0.5231877683230561,0.94756075160972,1.429938548017774,4.955320818274869,16.230461031384195,0.7304154630998664,0.8159528123040561,0.13523868824517266,0.9129337165569698,0.49175066594626793,0.8614079624555133,0.6620498384960105,0.2225754434222909,0.07841128099943198,0.378383492659094,0.23483321689810088,1.2887247459565971,0.24673166735721241,0.41133939031230926,0.13980911659270961,0.32612167128780434,0.6583444667189143,0.7459659576088982,0.45459530095948997,0.8581139765338385,1740.625,0.6766116185230225,915.5,233.875,0.8057620467387964,161.75,45.5,0.8140612129740722,23.625,10.0,0.8162237385275871,2.0
Squad 6,1.4002555184255674,2.080558260186572,0.027491829762854005,0.0180590432432372,0.3661563721700139,-8.23080312441118e-06,0.19214483565236137,4.269366572741002,3.9316816256828417,12.809735850611244,0.21290593035945318,2.7032384298442595,3.3757007581997653,32.722756570033425,30.430273469387192,65.27988622553782,15.055753006172298,6.982163862503411,0.125,-0.005858863970676045,0.96043471578635,0.23809523809523805,0.5019026779871325,2.0,1972.0,0.23955296404275997,-4.362074154284176e-32,-6.0303979829718136e-33,35.270044879919,35.27045812501845,1.4302000178070526,5.2771053956507155,0.3310844570973566,0.9482872884265026,1.1385439259053687,2.93440805835794,10.937086928645726,0.47511461894359736,0.578086570673849,0.16180791295487912,0.7972123800496875,0.3978927917476096,0.7878882164878057,0.6262871328433413,0.1710691826896791,0.08267990807328104,0.30481900572390747,0.20544486032869086,1.3566409934082035,0.2516725828539547,0.4161382162448992,0.1354744701192473,0.24749713781116417,0.5689074135089044,0.6269693813500458,0.44361899627891266,0.9362006128125298,2006.125,0.6669273060060024,910.75,199.75,0.7872664255036192,85.5,4.625,0.7941249100483776,0.0,0.0,0.7941794557448545,0.0
Squad 7,1.3476940451416777,1.9958155578066836,0.028445482062245394,0.018578368578979963,0.3408450072993326,2.8531983565406335e-05,0.1654102662454769,3.9648476032310285,3.667704172991649,11.31995993916171,0.4746091361311863,2.4781116962762977,3.1833297409145924,29.736767726702183,28.460341621041163,69.74831162527256,14.773373770164653,6.414813073678996,0.125,0.005127565066441193,0.9548231299273434,0.2523809523809523,0.961692750953493,5.0,5317.0,0.6787948423337163,7.312219447868295e-33,6.650029393107641e-33,17.61737545924285,17.607688312250453,0.9410020851836655,3.0851522150292747,0.2963676171263615,0.9840334506877044,0.8753720894297687,2.5087330706624993,9.140456942034394,0.48763392753261187,0.5880848212439291,0.11399285721548502,0.7744591757377002,0.32422053154787184,0.6688793801130225,0.5840691013041591,0.15011018827328654,0.06867557659483944,0.26042211429106954,0.18018034617267364,1.265662750329504,0.14756404311815288,0.4260289150489094,0.10488889308078755,0.21404231381624655,0.5186883398040864,0.6160537251363106,0.44408092522995113,0.9546665941715053,2253.625,0.6887913655284341,908.25,240.5,0.8017104849887277,100.625,7.875,0.8076132247200635,6.375,3.5,0.8076449021669401,3.125
Squad 8,1.594969905792158,2.1889931737440964,0.040971317456688285,0.027232285553006955,0.3535201831326986,-0.00022241853195672845,0.15923783964322918,6.049319497292778,5.691481725954591,13.085716422758267,1.4755578494919923,5.392528806393233,6.405857134965567,40.09972448005445,38.98528138062413,66.04434716637574,23.952345952928294,13.389173522631728,0.19999301284539595,0.01577579195798622,0.962220550475501,0.2378947368421053,1.3643775432314593,7.0,4894.0,1.0784486557955046,1.409191993070318e-32,1.540772303775507e-32,10.016039801491903,10.016268327174648,2.2043943848106005,7.4034835299441335,0.8286689993327001,1.621998129105565,3.146348252800973,3.2514877025092384,9.186765375055217,0.5749953087588271,0.5906151281204151,0.10640659014387097,0.8435293627768127,0.5194920593699294,0.7514524516375537,0.6503618898255794,0.17501993156381335,0.09317144573273879,0.285828431387155,0.27559475431830693,1.4903958076644805,0.294237856765133,0.5696692239178958,0.22097994993510506,0.2473093228735112,0.5829589383924675,0.6315830675054688,0.4102868042826687,0.7100934801818476,3790.6,0.14447918934813514,2043.2,1090.4,0.6824630932789708,278.6,0.0,0.850046951944471,0.0,0.0,0.850046951944471,0.0
Squad 9,1.374013609874666,2.0251181847075093,0.041960602246599324,0.03811042224012341,0.4795649463229693,-0.0002054616076481833,0.16064770867658762,35.84485853661767,36.00656432736905,50.0187950118148,25.04484851331521,22.046525395721147,57.310067729763,296.5715346070459,301.64659237655735,380.76744822310263,230.30765829695056,87.54003050447868,0.13140756189910788,-0.021492889430904945,0.9241574192690584,0.6065786628830108,1.2389415057802569,6.0,2099.0,0.2772421080438515,-1.346896682254866e-32,4.8121437260916996e-33,22.518135075294538,21.4674061946242,7.583091959645185,14.536945812324216,3.711883829260555,3.4143708289462382,19.138719250396537,9.416090020137444,22.803641869138822,0.6436428197710468,0.5042639945257484,0.1307801144049773,0.8438521430405043,0.53958870980489,0.8908993561071306,0.6507171106540692,0.2695989445788992,0.09652989463824195,0.4819636209600996,0.4182783616957531,0.8417876948219684,0.4016056460562291,0.48612243976250197,0.21207826221370502,0.3415588822215327,0.5046968379411905,0.5309209226618102,0.41362305486411033,0.9108608746070674,5524.285714285715,0.2475338376347668,3244.4285714285716,1837.4285714285713,0.648701349180115,695.7142857142857,168.85714285714286,0.7807520148320924,150.0,117.14285714285714,0.7833010347531743,115.0
Squad 10,1.4367983358618683,1.9630748050756535,0.03508792136482916,0.033571020186412094,0.4975029080211053,0.0005161582322580794,0.1682333662566743,12.511195649550627,12.442262848270428,21.15238975598496,4.9213401639717915,5.507471329488761,5.543612967182273,84.01594261377129,86.08865884266213,115.28846945451261,52.57701322513318,33.405117645266486,0.1111111111111111,0.024514226009488216,0.9300092153112658,0.5055254001433235,2.0040557109454147,5.0,2553.0,0.34986980951075786,1.1215090012900636e-32,4.533699541252722e-32,18.264326921762,18.25826864573372,2.7841416273675854,5.46134116537624,1.2320495473108484,1.2381477252547235,2.9503967253253096,4.087306222635851,10.68733286582099,0.7100739885848861,0.8301877785669114,0.13494598669122818,0.8300002367845623,0.5052858446185189,0.8013702409648112,0.6575108750484396,0.23107295771494796,0.09122227043413464,0.3709495196493591,0.44058031597766545,0.990565993312087,0.2741881096483326,0.44171720616305016,0.204866851563199,0.2750794642291918,0.551758481222022,0.5641193542640494,0.38388247235700057,0.9039796951195839,5379.555555555556,0.2913445061621815,4217.777777777777,2176.222222222222,0.7278623931011828,979.6666666666666,10.555555555555555,0.9491516754794334,1.4444444444444444,0.0,0.9506169956512154,0.0
Squad 11,1.3522277835890446,1.9107172602493045,0.045641686489859244,0.02635722046004977,0.4372060870378929,0.00021679851975483865,0.1657761180023494,6.154541889679868,5.695302494697959,13.754825461092917,1.1570860697646599,3.182449320537226,3.2205145816012672,44.81237196279154,42.24669887144702,74.22744397894184,24.753679917310045,11.45667348974899,0.125,-0.0010776285241365577,0.9710176852129386,0.31721384205856257,1.534541843198051,7.0,5561.0,0.7501686226898692,2.0813863845618023e-32,2.488132836591347e-32,11.205591845189009,11.20644829088608,1.9298499026064848,6.418548062836162,0.724452639639225,0.9550981742180058,1.52968284535817,3.522328297185144,10.031132235198017,0.6385951624044648,0.7679039847099287,0.11737082304786706,0.8776991953009132,0.4835576891315755,0.8308516390828719,0.6494225762518067,0.18993570663822956,0.07524614625087411,0.32646685067100234,0.26201355639966095,1.2727323570189493,0.26111244851258947,0.42931526910710177,0.15063641087937568,0.26765429866191626,0.6684806393624938,0.7283133307540267,0.5209250280765366,0.9332789806050102,3285.75,0.4997373550173044,1203.25,475.625,0.7887318915948316,84.0,7.625,0.8242727047387707,0.0,0.0,0.8259946942914402,0.0
Squad 12,1.508459881209942,2.218932494094257,0.060834622835582004,0.04619938122014561,0.4700081722031448,3.311086202477128e-05,0.1671003402179325,18.669419571369097,17.61642392524048,41.05019215199273,2.3085132372118005,8.91365773040836,95.80342536407319,118.16418639075441,115.50649444303883,212.34532861509993,33.71374866951783,48.351775750178156,0.16525851271792194,0.001793340237354733,0.8819591904598393,0.49745543345543347,1.8825764699723173,5.0,1848.0,0.25802848366378106,2.2744227452192102e-32,3.7589819207678166e-32,14.402315030435405,14.247145080863282,7.108330797102529,31.436047440378797,1.253080621490171,1.3345069534364586,7.126881444572163,10.773860372477477,27.508853517541496,0.6531251510187336,0.6186099518474114,0.17098535024257075,0.8894951440378663,0.5320783448470667,0.894349155648306,0.6285865183173315,0.40856710260270823,0.14643501253858268,0.7093693579647234,0.5440669453958313,1.3478911835886613,0.7180742720146562,0.5238730650575828,0.3700632033548435,0.5090025980181042,0.6460454610877165,0.6216388320830405,0.3810931569713098,0.8242316459381223,5805.5,0.14985977331145076,3299.1666666666665,2784.0,0.5005510387557207,1241.1666666666667,1168.1666666666667,0.6985133597403862,436.3333333333333,471.5,0.7544305442221054,192.16666666666666
Squad 13,1.3137666748261683,2.032303063373623,0.0820053424371965,0.03685663868995659,0.4732211224531033,-0.0004107124679157202,0.17187214207079013,7.077691678507343,6.79944095617564,16.35080548313362,1.3842010478681945,4.77670262131281,5.852597008221788,51.43903721516239,50.87399454079152,86.56638482135028,27.947286940392768,15.984903954116424,0.14285714285714285,0.01692184609449427,0.83574255277693,0.22764585008487445,1.242385999899138,4.0,812.0,0.09907271839921913,2.37037737647101e-32,1.6818302180389343e-32,18.394547618129376,18.395620151773937,2.4969455826677027,7.041255813800407,0.7261162953569142,1.1107740000269302,2.665177982484802,3.674915515630521,11.793041056433783,0.7201251897104173,0.6946911097313919,0.14926999321934273,0.9735202991281385,0.614909786225794,0.9324509228982377,0.6645758529922423,0.2051152220041643,0.09710570247237511,0.3480501242555595,0.3199393140882664,1.2659769197520612,0.3249474166835889,0.4529261077392891,0.21933182710433655,0.27453715882387486,0.6606975426392608,0.685780731930909,0.4707967009346193,0.9335560552606561,5783.857142857143,0.2802847165753058,3349.4285714285716,1465.7142857142858,0.7144496424800558,471.57142857142856,5.428571428571429,0.8025637255810409,0.0,0.0,0.8027215419054973,0.0
Squad 14,1.4470958723450698,2.070368814775089,0.04198730010331948,0.041066568620870714,0.42640249929993895,-6.321988221285953e-05,0.15815967807415143,7.679602600385646,7.1074934860609975,17.655005430899042,2.188894038419151,4.637281779176995,26.12899586142625,60.21744178544857,58.244456138687156,114.39819669378694,35.36303940367263,22.4053260596138,0.12498572361264498,-0.0039904234672120745,0.9798105544263425,0.2884786641929499,1.3609603687992289,4.0,2898.0,0.383841059602649,-1.4376138660898183e-32,1.1204651372263703e-33,20.852464179737638,20.85270311761876,2.265234425952889,5.842836073702794,0.6302027828021122,1.2788028130582219,2.5498490130637244,3.584368715393321,12.404735092785252,0.38561770702136916,0.43023288173745344,0.12430913704755378,0.7620009930496775,0.3437973949705034,0.7225518137450418,0.6018190966102153,0.19091286261196244,0.08547422875242909,0.33134001853200745,0.3082913076087919,1.1680138790636079,0.2364143782522116,0.4281733147035206,0.17654126346363858,0.25278920775277147,0.5219551783830315,0.5674258288448278,0.510861361454835,0.9356082361733704,3993.375,0.4496050057198992,1928.625,954.5,0.752029699752998,249.875,45.75,0.7982329040595291,27.5,12.625,0.8007857367460164,3.5
Squad 15,1.3570041241218185,2.1189265062796108,0.07031319847177116,0.03470356140141092,0.47379014568246347,-0.00023196190911480957,0.16454723581476666,7.303523996687807,6.898609084380372,18.209685913673898,1.6379095350860782,3.7049843703719905,4.557406270932999,55.21090206090912,52.97638665145,121.76087834984901,33.47728804779584,15.746309375831792,0.1111077216936758,0.0024337849703632594,0.9662514379714278,0.2677440807593119,1.7016983591862276,7.0,3029.0,0.4112695179904956,1.7610619665089704e-32,1.7972149698927372e-32,10.425614858954152,10.426054174674697,2.139224117334499,5.799753608054079,0.7534694292333166,0.944311591150242,1.7061558814802846,3.6903004556524084,13.402262843956287,0.5657942648313278,0.6280159813062369,0.12102572809268802,0.900994895554624,0.48615958923705044,0.8119044648384699,0.6489044215578686,0.20590603291069826,0.0799678670777396,0.34468644343265203,0.30895552710988194,1.1509547075558737,0.26786358217935413,0.4032796910981531,0.15978435232275848,0.2764027542025667,0.612920610365744,0.668317824869701,0.5072050419832603,0.9291508929104305,3742.3333333333335,0.455603668423707,1567.111111111111,564.1111111111111,0.7811136695098522,130.33333333333334,37.888888888888886,0.822554734305261,0.5555555555555556,2.888888888888889,0.8236896750988707,0.4444444444444444
Squad 16,1.4074069246529175,2.038404979587727,0.03254508476551863,0.023870980611571366,0.390335894011186,1.0135820739949441e-05,0.181207897766188,10.679535594241674,10.380507529852265,22.01905110400236,2.896187017051156,7.367431826425074,8.525959510748637,77.57499067812272,77.7267662006992,127.40443822948703,40.65193337645562,34.573673726308435,0.14285714285714285,0.06528805609512348,0.9645266808079027,0.4368350250703192,1.3963829021851026,2.0,1486.0,0.17779373055754966,-2.4107016943291731e-32,-1.878071342597217e-33,32.00341155583453,32.00404988528388,3.2052271433636292,8.145247515887759,1.242278834131444,1.152409828767125,4.17326759236139,3.8093984017168228,13.698816666974334,0.4412479782562407,0.3758112246845373,0.1920272003362382,0.8149547390363461,0.48781631949708837,0.8274244501895339,0.6168395451989798,0.2514125586445312,0.1270902232998507,0.49051449416908355,0.5231036115295719,1.092566813001857,0.31759271267101874,0.4876364126669323,0.27739767867699267,0.29964129801891115,0.5331211081930677,0.4921082717459163,0.2766222192876027,0.9524787129943852,7836.428571428572,0.05588435309226843,5650.142857142857,3597.4285714285716,0.5300610330097617,1878.857142857143,170.57142857142858,0.7873725221322031,21.428571428571427,0.0,0.7932840432282575,0.0
